date,home_team,away_team,home_score,away_score,status,game_id,neutral_site
2026-09-04,Mt. St. Joseph,Loras,3,1,FINAL,6634916,False
2026-09-04,Utica,Rochester (NY),1,3,FINAL,6634959,False
2026-09-04,St. Joseph's (ME),Millikin,0,3,FINAL,6635132,False
2026-09-04,York (PA),Ursinus,3,1,FINAL,6635182,False
2026-09-04,Springfield,Westfield St.,3,0,FINAL,6635609,False
2026-09-04,SUNY Oneonta,Wheaton (MA),0,3,FINAL,6635628,False
2026-09-04,Stevens,MIT,2,3,FINAL,6635744,False
2026-09-04,Waynesburg,Meredith,0,3,FINAL,6636105,False
2026-09-04,Chatham,Carnegie Mellon,0,3,FINAL,6636233,False
2026-09-04,DePauw,Marietta,3,0,FINAL,6636327,False
2026-09-04,JWU (Providence),Salve Regina,3,1,FINAL,6636481,False
2026-09-04,Greenville,Anderson (IN),3,1,FINAL,6636575,False
2026-09-04,Whitman,Beloit,3,0,FINAL,6636584,False
2026-09-04,SUNY New Paltz,William Peace,1,3,FINAL,6636743,False
2026-09-04,Rivier,Clark (MA),1,3,FINAL,6637674,False
2026-09-04,North Park,Transylvania,1,3,FINAL,6637893,False
2026-09-04,Blackburn,Bethany Lutheran,0,3,FINAL,6638547,False
2026-09-04,George Fox,Hamline,3,1,FINAL,6638800,False
2026-09-04,Smith,Colby-Sawyer,3,0,FINAL,6639192,False
2026-09-04,Monmouth (IL),Hendrix,0,3,FINAL,6632125,False
2026-09-04,Schreiner,Redlands,3,1,FINAL,6632240,False
2026-09-04,UC Santa Cruz,St. Olaf,1,3,FINAL,6632699,False
2026-09-04,Wis.-Eau Claire,NYU,2,3,FINAL,6634316,False
2026-09-04,Hope,Dubuque,1,3,FINAL,6634384,False
2026-09-04,Webster,Wheaton (IL),0,3,FINAL,6635096,False
2026-09-04,Marymount (VA),Olivet,3,2,FINAL,6635241,False
